342139923	2	-3
340203045	2	-2
336552550	2	-2
333689159	2	-2
325889581	2	-3
323892489	2	-2
316927434	2	-2
314393574	3	-3
313269685	2	-4
312887074	3	-3
311470925	2	-2
304085891	2	-3
303911453	2	-2
302458351	2	-4
298766557	2	-2
297085184	2	-2
292084257	2	-2
290630201	1	-2
288173884	3	-3
286293887	3	-2
283138924	3	-3
282869012	1	-2
282741848	2	-4
281112616	2	-3
279926443	2	-3
270877357	3	-2
268081708	2	-3
263475425	2	-3
261916032	2	-3
261426202	2	-2
259137095	2	-2
259010628	2	-2
258857064	2	-2
256863792	2	-3
256391882	2	-3
256319608	3	-4
256275987	2	-1
254767745	3	-3
248879582	2	-2
247794821	2	-4
246103764	2	-2
244862246	2	-2
244695261	2	-1
242624808	3	-3
241562263	2	-2
241380361	2	-3
239925763	2	-2
239085454	2	-2
238589775	2	-3
237629147	2	-1
237156126	2	-2
235977274	2	-3
234918289	2	-2
234677562	2	-2
234323169	3	-2
231672984	2	-1
231157705	2	-2
229432719	2	-3
228410049	2	-2
228277962	3	-4
227842064	2	-4
227816000	1	-3
226598989	3	-2
226499417	2	-3
222820416	2	-2
222695266	2	-2
220815920	2	-1
219657630	2	-2
219624325	1	-3
219417207	2	-2
218773453	2	-1
218553580	3	-3
218334482	2	-1
217865047	1	-3
217737938	2	-3
217512804	2	-2
216988596	1	-2
216936821	2	-2
216908117	2	-1
216884434	2	-2
216502517	3	-1
213261910	2	-2
212561085	2	-2
212476364	2	-2
212251821	2	-2
211954577	2	-2
211529899	1	-3
210969003	2	-3
210509459	1	-2
209432261	2	-2
208707572	2	-3
207662188	2	-2
205379141	1	-1
203828102	2	-2
203676453	2	-3
203064999	2	-2
202812972	2	-2
202252547	2	-2
202182550	1	-2
201997260	2	-2
201236122	2	-2
201093179	2	-3
200310072	2	-2
199967985	2	-1
199235047	3	-3
197297742	3	-3
197279166	3	-4
195678076	1	-1
195619651	2	-2
193777451	3	-2
193531536	2	-2
193134811	1	-1
192648932	3	-2
190726064	1	-3
188601125	2	-3
188258676	2	-2
187544004	2	-2
187303495	2	-2
187040895	2	-2
186439956	2	-2
184547993	1	-1
184185549	2	-1
183757068	2	-2
183301193	2	-1
181800154	2	-2
181739121	2	-2
181448365	2	-2
181244248	2	-1
181165800	2	-2
179968541	2	-2
179839447	1	-1
179819759	1	-2
179221868	3	-1
177674886	2	-3
177633866	3	-2
177058169	3	-3
176522543	2	-3
175891912	2	-1
173818363	2	-2
172194515	2	-2
172045539	2	-2
171714400	2	-2
171638393	2	-3
171535837	2	-2
171285006	2	-2
171154072	3	-2
170980810	2	-1
170928094	3	-1
170571928	2	-1
170316157	1	-2
170021320	3	-3
169523951	1	-2
169057297	3	-3
168580336	3	-3
168388172	2	-3
167336235	2	-2
165716862	2	-2
165594681	2	-3
165085305	1	-2
164577402	1	-2
164347685	2	-2
163098359	1	-1
162963516	2	-3
162730896	1	-1
161962706	2	-1
160405221	2	-4
160059218	2	-1
159328560	3	-4
159265587	1	-1
158773863	2	-3
158140277	2	-3
158034316	2	-2
157394277	2	-3
156842999	3	-2
156592621	1	-2
156338624	3	-2
155832874	2	-4
154284964	2	-2
153511068	2	-2
152973810	2	-2
151876428	3	-3
151777021	2	-2
151086396	2	-2
150954523	2	-2
150952640	2	-2
150641857	2	-3
150424721	3	-2
150415574	1	-2
149486727	2	-2
148220193	1	-3
146354112	2	-2
146150392	2	-1
146081676	2	-2
145948766	2	-3
145162975	1	-2
144368681	1	-3
144300066	3	-1
144299362	3	-3
144114123	2	-2
143999909	2	-3
143494351	2	-2
143491973	1	-1
143092761	2	-1
142439246	2	-2
141445596	2	-3
140423920	2	-2
140222110	1	-1
139778907	2	-2
138631210	1	-1
138558966	1	-2
137938290	2	-3
135049089	2	-2
134973257	2	-1
134670771	2	-2
134336468	1	-1
130545938	1	-1
127823642	2	-2
123756269	2	-1
123344471	3	-2
120284625	2	-1
119650314	2	-2
119579586	3	-3
117874608	2	-3
117720497	2	-3
117695091	3	-2
116458099	2	-1
116263695	3	-1
114964284	2	-2
111005205	2	-1
109917861	3	-2
108697483	1	-1
108190643	2	-2
105707908	2	-1
104846604	2	-1
104387588	2	-4
104046753	1	-3
100286472	2	-3
98692811	3	-4
97762632	1	-1
95767910	3	-2
95764950	2	-2
93182017	2	-2
91390161	1	-1
82959398	1	-2
81576637	2	-3
73920994	3	-1
72195893	1	-2
71598641	1	-2
68696861	3	-1
65653665	3	-1
62792277	2	-1
55846843	2	-1
54686145	1	-1
51651113	2	-1
47752827	3	-1
46479927	2	-2
46286820	3	-3
45874490	2	-2
43849821	2	-1
39792920	2	-1
37950302	3	-2
